id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jumlah_demam_berdarah,satuan,tahun
51,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201060,DRAMAGA,320130,DRAMAGA,16,Orang,2022
52,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,320102,GUNUNG PUTRI,95,Orang,2020
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,320102,GUNUNG PUTRI,224,Orang,2021
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201190,GUNUNG PUTRI,320102,GUNUNG PUTRI,117,Orang,2022
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201250,GUNUNG SINDUR,320111,GUNUNG SINDUR,45,Orang,2020
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201250,GUNUNG SINDUR,320111,GUNUNG SINDUR,27,Orang,2021
57,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201250,GUNUNG SINDUR,320111,GUNUNG SINDUR,12,Orang,2022
58,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201280,JASINGA,320119,JASINGA,44,Orang,2020
59,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201280,JASINGA,320119,JASINGA,47,Orang,2021
60,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201280,JASINGA,320119,JASINGA,24,Orang,2022
61,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201170,JONGGOL,320106,JONGGOL,37,Orang,2020
62,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201170,JONGGOL,320106,JONGGOL,41,Orang,2021
63,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201170,JONGGOL,320106,JONGGOL,39,Orang,2022
64,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201181,KELAPA NUNGGAL,320132,KLAPANUNGGAL,52,Orang,2020
65,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201181,KELAPA NUNGGAL,320132,KLAPANUNGGAL,42,Orang,2021
66,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201181,KELAPA NUNGGAL,320132,KLAPANUNGGAL,27,Orang,2022
67,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201230,KEMANG,320112,KEMANG,38,Orang,2020
68,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201230,KEMANG,320112,KEMANG,117,Orang,2021
69,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201230,KEMANG,320112,KEMANG,46,Orang,2022
70,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,320114,LEUWILIANG,47,Orang,2020
71,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,320114,LEUWILIANG,32,Orang,2021
72,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,320114,LEUWILIANG,42,Orang,2022
73,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,320139,LEUWISADENG,17,Orang,2020
74,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,320139,LEUWISADENG,38,Orang,2021
75,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,320139,LEUWISADENG,16,Orang,2022
76,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201120,MEGAMENDUNG,320126,MEGAMENDUNG,0,Orang,2020
77,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201120,MEGAMENDUNG,320126,MEGAMENDUNG,31,Orang,2021
78,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201120,MEGAMENDUNG,320126,MEGAMENDUNG,50,Orang,2022
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,320121,NANGGUNG,26,Orang,2020
80,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,320121,NANGGUNG,25,Orang,2021
81,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201010,NANGGUNG,320121,NANGGUNG,25,Orang,2022
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,320117,PAMIJAHAN,24,Orang,2020
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,320117,PAMIJAHAN,16,Orang,2021
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201030,PAMIJAHAN,320117,PAMIJAHAN,19,Orang,2022
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201240,PARUNG,320110,PARUNG,48,Orang,2020
86,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201240,PARUNG,320110,PARUNG,104,Orang,2021
87,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201240,PARUNG,320110,PARUNG,90,Orang,2022
88,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201300,PARUNG PANJANG,320120,PARUNG PANJANG,1,Orang,2020
89,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201300,PARUNG PANJANG,320120,PARUNG PANJANG,1,Orang,2021
90,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201300,PARUNG PANJANG,320120,PARUNG PANJANG,2,Orang,2022
91,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201231,RANCA BUNGUR,320134,RANCA BUNGUR,53,Orang,2020
92,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201231,RANCA BUNGUR,320134,RANCA BUNGUR,68,Orang,2021
93,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201231,RANCA BUNGUR,320134,RANCA BUNGUR,44,Orang,2022
94,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201260,RUMPIN,320118,RUMPIN,29,Orang,2020
95,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201260,RUMPIN,320118,RUMPIN,71,Orang,2021
96,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201260,RUMPIN,320118,RUMPIN,152,Orang,2022
97,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201271,SUKAJAYA,320135,SUKAJAYA,9,Orang,2020
98,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201271,SUKAJAYA,320135,SUKAJAYA,3,Orang,2021
99,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201271,SUKAJAYA,320135,SUKAJAYA,5,Orang,2022
100,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201150,SUKAMAKMUR,320109,SUKAMAKMUR,0,Orang,2020
101,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201150,SUKAMAKMUR,320109,SUKAMAKMUR,9,Orang,2021
102,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201150,SUKAMAKMUR,320109,SUKAMAKMUR,3,Orang,2022
103,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201130,SUKARAJA,320104,SUKARAJA,38,Orang,2020
104,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201130,SUKARAJA,320104,SUKARAJA,116,Orang,2021
105,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201130,SUKARAJA,320104,SUKARAJA,86,Orang,2022
106,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201221,TAJUR HALANG,320137,TAJURHALANG,58,Orang,2020
107,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201221,TAJUR HALANG,320137,TAJURHALANG,51,Orang,2021
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201221,TAJUR HALANG,320137,TAJURHALANG,50,Orang,2022
